Address,Quality,Size,Name
0x0000007100000030,U,000316,
0x0000007100000170,U,000052,
0x00000071000001b0,U,000008,
0x00000071000001c0,U,000008,
0x00000071000001d0,U,000008,
0x00000071000001e0,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001f0,U,000012,nndetailRoGetRoDataStart
0x0000007100000200,U,000012,nndetailRoGetRoDataEnd
0x0000007100000210,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x0000007100000520,U,000116,
0x00000071000005a0,U,000004,
0x00000071000005b0,U,000340,Hagi__Initialize
0x0000007100000710,U,000144,
0x00000071000007a0,U,000048,
0x00000071000007d0,U,000036,
0x0000007100000800,U,000044,
0x0000007100000830,U,000036,
0x0000007100000860,U,000344,
0x00000071000009c0,U,000348,
0x0000007100000b20,U,000352,
0x0000007100000c80,U,000164,
0x0000007100000d30,U,000176,
0x0000007100000de0,U,000016,
0x0000007100000df0,U,000084,HagiApplication__ToggleCpuSync
0x0000007100000e50,U,000120,HagiApplication__ToggleSyncSpeedup
0x0000007100000ed0,U,000004,HagiApplication__ToggleImGuiMenu
0x0000007100000ee0,U,000020,HagiApplication__ReloadShaders
0x0000007100000f00,U,000004,HagiApplication__ToggleOverlay
0x0000007100000f10,U,000020,HagiApplication__ResetButtonPressed
0x0000007100000f30,U,000020,HagiApplication__ResetButtonReleased
0x0000007100000f50,U,000088,HagiApplication__StardustPaused
0x0000007100000fb0,U,000200,HagiApplication__UpdateOperationMode
0x0000007100001080,U,000148,
0x0000007100001120,U,000296,
0x0000007100001250,U,000116,HagiApplication__OnControllerSupportAppletFinished
0x00000071000012d0,U,000324,_ZN15HagiApplicationC1Ev
0x0000007100001420,U,000244,_ZN15HagiApplicationD1Ev
0x0000007100001520,U,000576,
0x0000007100001760,U,000036,_ZN15HagiApplicationD0Ev
0x0000007100001790,U,000012,
0x00000071000017a0,U,000080,
0x00000071000017f0,U,000960,
0x0000007100001bb0,U,000244,
0x0000007100001cb0,U,004156,HagiApplication__BackendSpecificInitialize
0x0000007100002cf0,U,000172,HagiApplication__LoadParam
0x0000007100002d9c,U,000076,
0x0000007100002de8,U,001504,
0x00000071000033d0,U,000120,
0x0000007100003450,U,000240,
0x0000007100003540,U,000004,
0x0000007100003550,U,000052,
0x0000007100003590,U,000036,
0x00000071000035c0,U,000004,
0x00000071000035d0,U,000260,
0x00000071000036e0,U,000660,
0x0000007100003980,U,000288,
0x0000007100003aa0,U,000144,
0x0000007100003b30,U,000064,
0x0000007100003b70,U,000012,
0x0000007100003b80,U,000036,
